x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mzmed,rtmed,,,NM481,NM482,NM483,NM484,NM485,NM486,NMINF481,NMINF482,NMINF483,NMINF484,NMINF485,NMINF486,AM481,AM482,AM483,AM484,AM485,AM486,AMINF481,AMINF482,AMINF483,AMINF484,AMINF485,AMINF486
,1036.325343,269.4877597,,,2605.788603,195543.2291,76219.76409,151194.1534,86757.90431,116351.9997,5059.435365,25848.95213,34657.28099,7075.345596,2977.414377,21971.33626,195947.6201,198846.2323,202155.5612,218912.8592,212687.8379,177723.1271,167986.1424,115855.5204,162841.8673,135655.7075,222690.1074,176915.4859
,422.7420832,237.7582634,,,3598.061379,12566.13821,3668.021989,7451.271026,3742.212753,8468.002325,1528.622104,2351.216144,1403.727351,1644.060673,1279.161295,1866.121821,28522.62265,31778.88563,24439.43678,28089.25296,24122.56407,29074.06054,41509.16182,28896.86503,40466.6571,42392.18179,37455.5567,28767.22827
,215.5165258,37.2176955,,,1937.80105,3983.174377,1064.19862,2991.621585,1474.73647,1722.217648,721.5491072,896.2930095,914.4520857,593.3528852,522.2308969,718.7643445,6005.175532,4378.261735,5248.925558,5314.412029,4731.246735,5036.531074,3879.712411,3907.180943,11895.31324,3092.29352,5890.690605,7065.89259
,579.3927844,336.2648858,,,188669.844,302729.7379,162189.4976,223723.6833,141564.1229,198954.3313,46953.90767,83795.91803,100445.179,44287.8336,27543.94839,68485.20808,268396.3639,266384.8984,286904.5929,332073.9232,269635.9878,260578.3376,243124.0839,190210.4714,458107.3446,199899.2665,282835.6461,292945.5705
,453.7554043,280.6615549,,,4200.531477,2069.226797,3590.56892,1819.582369,3233.455598,2268.986871,6250.339458,6159.086761,5236.535498,3804.799218,5046.492199,3555.394273,1604.537874,2228.235872,1516.771196,2489.022382,2207.664092,2201.731825,2607.655172,3776.968995,2628.125516,1466.323356,1531.983624,3151.186973
,1036.030118,269.8790073,,,28326.92052,40220.19186,20303.81935,35654.9569,18501.02798,37874.73452,3977.63344,10918.33277,11911.57544,5043.846891,5607.811303,8347.426836,71453.10277,52702.74852,55581.75928,66259.26334,64306.52195,49769.76112,46036.89867,29279.10727,6463.895766,34101.24788,59132.78344,44594.04501
,713.7763694,304.6249065,,,7698.662832,9547.972537,6370.06207,8729.796942,6738.151654,6989.75706,1461.00627,3485.067678,4114.686282,2944.325045,2975.17082,3701.857427,9317.431339,8562.113479,9679.607512,9006.118263,8757.617352,8002.120829,1916.387171,3980.617074,12529.88132,7147.001684,8077.102986,2395.51629
,577.3736287,337.6263485,,,75068.84978,118502.0794,47534.05157,933.3598963,50836.36993,71756.28274,1341.593912,30075.78815,28176.06247,18946.63698,20309.54838,3552.970282,164331.1698,106160.5489,133681.1333,137308.4872,133160.5471,148747.8451,107644.2703,52066.12838,171222.7601,88692.10052,1341.358842,114047.962
,425.0475697,37.21103427,,,73077.33034,133380.4025,26492.78778,101020.6406,46890.01144,71555.72377,3656.800111,19160.00336,40089.63045,14640.49768,1985.69684,33273.40868,94819.92922,118518.5329,116021.1297,135364.378,109619.0224,109367.0698,163667.3432,87208.19667,202260.2807,83855.37109,152478.4007,140685.9176
,590.3311455,310.971104,,,2974.707329,4749.85466,1933.809612,5037.671617,2486.731525,2997.664546,1019.810742,1273.578713,1602.371957,852.9745107,1140.229327,1388.060672,3630.70081,3561.026583,3540.07924,3313.870066,3139.677707,3201.491405,3611.868395,2601.819351,4888.575122,3300.214175,3416.496307,3314.855255
